Date	Home_Total	From_Pwall	From_Solar	From_Grid	Solar_Total	To_Home	To_Pwall	To_Grid	Temp	Irrdnce	Occupied
01/09/2024	19048	11652	2180	5217	2360	2180	172	9	12.9	365.9	24
02/09/2024	11304	5224	1171	4909	1232	1171	50	11	13.4	335.4	6
03/09/2024	13867	7062	3690	3115	6372	3690	2664	18	9.9	1346.8	0
04/09/2024	16241	9315	4380	2546	6768	4380	2378	10	9.5	1722.5	0
05/09/2024	17960	9127	5744	3090	11036	5744	5204	88	14.5	1681.8	12
06/09/2024	16015	10998	4617	400	14726	4617	9152	957	16.6	1489.4	24
07/09/2024	12219	7713	2988	1518	14228	2988	3704	7537	16.6	1437	12
08/09/2024	10537	6743	2930	864	11050	2930	3550	4570	16.1	1308.4	12
09/09/2024	18537	11180	5605	1752	6370	5605	752	13	10.7	1118.9	24
10/09/2024	16619	6813	8005	1801	14550	8005	6536	9	10.1	1608.3	18
11/09/2024	21917	11023	8432	2462	14548	8432	6108	8	9.2	1789.6	18
12/09/2024	22198	12510	6491	3197	11896	6491	5400	5	7.5	1693.9	12
13/09/2024	17228	8858	4852	3518	9908	4852	5042	14	7.7	1531.3	0
14/09/2024	13129	5773	1687	5669	2034	1687	334	13	12.7	413.3	0
15/09/2024	12383	6264	4334	1785	8134	4334	3790	10	11.5	1304.2	0
16/09/2024	13798	7014	4504	2280	11848	4504	4748	2596	10.8	1478.3	0
17/09/2024	7883	4346	2860	677	8836	2860	3490	2486	14.6	1144.5	0
18/09/2024	8789	4962	3072	755	13052	3072	3830	6150	14.6	1216.1	0
19/09/2024	9550	6560	2796	194	13734	2796	6348	4590	11.1	1219.7	6
20/09/2024	19793	9381	4801	5611	4850	4801	40	9	10.7	915.5	24
21/09/2024	14053	6792	4814	2447	8294	4814	3468	12	12.7	1188.6	18
22/09/2024	24110	12000	3595	8515	3612	3595	12	5	11.1	430.6	24
23/09/2024	15833	10197	1821	3815	2178	1821	352	5	9.4	316.5	12
24/09/2024	23265	13147	4713	5405	8454	4713	3728	13	9.1	1138.1	24
25/09/2024	18467	9873	5062	3532	11022	5062	5948	12	6	1215	12
26/09/2024	21556	12700	5053	3803	6766	5053	1704	9	9	877.7	12
27/09/2024	23706	11696	7598	4412	9576	7598	1970	8	7.6	1208.9	24
28/09/2024	23838	11321	3922	8595	4542	3922	610	10	6.6	626.3	18
29/09/2024	24030	11085	6104	6841	7142	6104	1028	10	9	926	24
30/09/2024	17901	8720	1344	7837	1354	1344	0	10	10	268.7	12
