Date	From_Solar	From_Grid	From_Btry	To_Home	To_Grid	To_Btry	Temp	Irrdnce	Occupied
01/09/2024	2.4	11.4	11.7	19	0	0	12.9	365.9	1
02/09/2024	1.2	17.3	5.2	11.3	0	0	13.4	335.4	0
03/09/2024	6.4	10.5	7.1	13.9	0	0	9.9	1346.8	0
04/09/2024	6.8	7.4	9.3	16.2	0	0	9.5	1722.5	0
05/09/2024	11	11.5	9.1	18	0.1	0	14.5	1681.8	1
06/09/2024	14.7	0.4	11	16	1	0	16.6	1489.4	1
07/09/2024	14.2	7.9	7.7	12.2	7.5	0	16.6	1437	0
08/09/2024	11.1	5.7	6.8	10.5	4.6	0	16.1	1308.4	0
09/09/2024	6.4	7.2	11.2	18.5	0	0	10.7	1118.9	1
10/09/2024	14.6	10.3	6.8	16.6	0	0	10.1	1608.3	1
11/09/2024	14.5	6.7	11	21.9	0	0	9.2	1789.6	1
12/09/2024	11.9	10.5	12.5	22.2	0	0	7.5	1693.9	1
13/09/2024	9.9	12.6	8.9	17.2	0	0	7.7	1531.3	0
14/09/2024	2	9.7	5.8	13.1	0	0	12.7	413.3	0
15/09/2024	8.1	8	6.3	12.4	0	0	11.5	1304.2	0
16/09/2024	11.8	5.8	7	13.8	2.6	0	10.8	1478.3	0
17/09/2024	8.8	2.4	4.4	7.9	2.5	0	14.6	1144.5	0
18/09/2024	13.1	2.6	5	8.8	6.2	0	14.6	1216.1	0
19/09/2024	13.7	0.2	6.6	9.6	4.6	0	11.1	1219.7	0
20/09/2024	4.8	8.4	9.4	19.8	0	0	10.7	915.5	1
21/09/2024	8.3	12.7	6.8	14.1	0	0	12.7	1188.6	1
22/09/2024	3.6	16	12	24.1	0	0	11.1	430.6	1
23/09/2024	2.2	15.4	10.2	15.8	0	0	9.4	316.5	0
24/09/2024	8.5	17.1	13.2	23.3	0	0	9.1	1138.1	1
25/09/2024	11	15	9.9	18.5	0	0	6	1215	0
26/09/2024	6.8	9	12.7	21.6	0	0	9	877.7	0
27/09/2024	9.6	15.9	11.7	23.7	0	0	7.6	1208.9	1
28/09/2024	4.5	20.3	11.3	23.8	0	0	6.6	626.3	1
29/09/2024	7.1	18.3	11.1	24	0	0	9	926	1
30/09/2024	1.4	19.3	8.7	17.9	0	0	10	268.7	0
